by_day,STATION,NAME,DATE,AWND,PRCP,SNOW,SNWD,TMAX,TMIN,n
1,USW00094728,"NY CITY CENTRAL PARK, NY US",2013-08-01,2.91,0.65,0,0,76,66,4599
2,USW00094728,"NY CITY CENTRAL PARK, NY US",2013-08-02,4.47,0,0,0,83,67,4014
3,USW00094728,"NY CITY CENTRAL PARK, NY US",2013-08-03,3.36,0.06,0,0,78,68,3582
4,USW00094728,"NY CITY CENTRAL PARK, NY US",2013-08-04,5.14,0,0,0,80,66,2976
5,USW00094728,"NY CITY CENTRAL PARK, NY US",2013-08-05,3.36,0,0,0,78,62,6670
6,USW00094728,"NY CITY CENTRAL PARK, NY US",2013-08-06,2.68,0,0,0,82,64,7180
7,USW00094728,"NY CITY CENTRAL PARK, NY US",2013-08-07,5.14,0,0,0,80,70,7533
8,USW00094728,"NY CITY CENTRAL PARK, NY US",2013-08-08,4.47,0.46,0,0,81,70,7389
9,USW00094728,"NY CITY CENTRAL PARK, NY US",2013-08-09,4.25,0.05,0,0,85,74,8339
10,USW00094728,"NY CITY CENTRAL PARK, NY US",2013-08-10,4.92,0,0,0,83,70,6498
11,USW00094728,"NY CITY CENTRAL PARK, NY US",2013-08-11,2.46,0,0,0,81,65,2745
12,USW00094728,"NY CITY CENTRAL PARK, NY US",2013-08-12,2.01,0.05,0,0,82,70,6304
13,USW00094728,"NY CITY CENTRAL PARK, NY US",2013-08-13,2.68,0.85,0,0,77,68,7133
14,USW00094728,"NY CITY CENTRAL PARK, NY US",2013-08-14,6.49,0,0,0,74,61,7216
15,USW00094728,"NY CITY CENTRAL PARK, NY US",2013-08-15,3.58,0,0,0,78,59,7518
16,USW00094728,"NY CITY CENTRAL PARK, NY US",2013-08-16,2.01,0,0,0,82,64,7507
17,USW00094728,"NY CITY CENTRAL PARK, NY US",2013-08-17,2.01,0,0,0,84,64,6862
18,USW00094728,"NY CITY CENTRAL PARK, NY US",2013-08-18,2.91,0,0,0,76,68,4986
19,USW00094728,"NY CITY CENTRAL PARK, NY US",2013-08-19,3.36,0,0,0,79,66,6430
20,USW00094728,"NY CITY CENTRAL PARK, NY US",2013-08-20,2.91,0,0,0,88,68,7041
21,USW00094728,"NY CITY CENTRAL PARK, NY US",2013-08-21,2.46,0,0,0,90,72,7356
22,USW00094728,"NY CITY CENTRAL PARK, NY US",2013-08-22,3.8,0.25,0,0,78,71,7766
23,USW00094728,"NY CITY CENTRAL PARK, NY US",2013-08-23,5.59,0,0,0,82,71,8112
24,USW00094728,"NY CITY CENTRAL PARK, NY US",2013-08-24,4.92,0,0,0,80,65,7074
25,USW00094728,"NY CITY CENTRAL PARK, NY US",2013-08-25,4.03,0,0,0,83,64,5339
26,USW00094728,"NY CITY CENTRAL PARK, NY US",2013-08-26,5.82,0.04,0,0,84,68,6070
27,USW00094728,"NY CITY CENTRAL PARK, NY US",2013-08-27,4.7,0.01,0,0,87,71,6819
28,USW00094728,"NY CITY CENTRAL PARK, NY US",2013-08-28,2.68,0.43,0,0,86,71,7187
29,USW00094728,"NY CITY CENTRAL PARK, NY US",2013-08-29,4.92,0,0,0,80,71,7662
30,USW00094728,"NY CITY CENTRAL PARK, NY US",2013-08-30,4.25,0,0,0,85,70,7808
31,USW00094728,"NY CITY CENTRAL PARK, NY US",2013-08-31,4.92,0,0,0,86,73,6285
